"Date","WFC","JPM","AIG","C","USB","AXP","GS","XOM","COP","CVX","SLB","OXY","VZ","T","INTC","CSCO","IBM","ORCL","GOOG","MSFT","QCOM","BA","UTX","MMM","GE","CAT","HD","UPS","MCD","CMCSA","AMZN","WMT","DIS","AAPL","PG","PEP","KO","MO","JNJ","MRK","PFE","ABT","UNH","CVS","BMY","GSPC","VIX"
"2006-09-18",26.350666,35.102272,1012.347229,429.003571,24.383602,44.324348,142.340851,48.66468,28.579479,41.788868,47.840092,31.941956,18.329439,17.230806,13.831068,18.73086,62.94783,14.629657,206.005142,20.438255,28.490158,56.521645,49.147327,54.997536,22.948067,48.611115,27.259272,52.083252,25.882378,9.226569,32.080002,36.86647,24.995266,7.14576,43.044865,46.643738,13.37984,10.821578,45.421333,26.63237,17.489367,14.05473,46.055012,29.656876,15.999732,1321.180054,11.78
"2006-09-19",26.490591,35.268047,1012.964661,429.955292,24.34676,44.258064,142.489151,48.077469,28.206936,41.150574,46.978245,31.405523,18.452463,17.247259,13.669178,18.665251,62.664627,14.521623,200.600296,20.491646,28.879375,56.266148,49.208694,54.521168,22.934895,48.29908,27.035713,51.782001,25.99305,9.315653,31.58,37.17305,25.336178,7.134155,43.336555,46.853519,13.361774,10.768077,45.435482,26.880417,17.51421,14.135235,45.8605,29.716663,15.890409,1317.640015,11.98
"2006-09-20",26.733627,35.584564,1012.810608,431.685425,24.427816,44.962414,145.288544,47.057205,27.698919,40.479031,45.604202,30.917864,18.795879,17.587381,13.718454,19.083498,63.851021,16.142139,197.217285,20.735786,29.665579,57.258133,49.016933,54.647694,23.046776,47.805626,27.110231,52.076057,26.131378,9.461423,32.119999,37.45665,25.80183,7.278249,43.848835,47.106705,13.382851,10.77721,45.442558,27.376513,17.681896,13.959841,45.559887,30.263344,16.006163,1325.180054,11.39
"2006-09-21",26.586332,35.275581,1009.876404,430.387695,24.413084,44.945854,145.768173,47.548981,28.163387,41.256954,46.750607,31.698124,18.913767,17.708069,13.507286,18.870272,62.46563,16.277182,202.110474,20.522165,29.953594,57.198017,48.24984,54.416954,22.828039,46.833279,26.715275,50.928524,26.518734,9.501909,30.219999,37.142395,25.535749,7.219257,43.927124,46.737774,13.307582,10.69109,45.470875,27.383038,17.520418,13.8592,44.463554,27.734985,15.890409,1318.030029,12.25
"2006-09-22",26.520052,35.283127,1004.625244,428.225098,24.420446,44.838104,146.090805,47.644405,28.081133,41.183815,46.425377,31.510017,19.016291,18.048191,13.422827,18.763662,62.159458,15.791027,200.585388,20.339073,29.47098,58.054745,47.789574,54.387196,22.801529,45.548882,26.797245,50.842484,26.428795,9.480315,30.84,37.012104,25.011892,7.059689,43.97691,46.499058,13.244353,10.74198,45.279739,27.44178,17.489367,13.77294,43.296482,28.213318,16.115488,1314.780029,12.59
"2006-09-25",26.785179,35.350941,1019.297241,433.242584,24.508873,45.525898,147.11116,47.754509,27.727947,41.343388,46.376595,31.677221,19.221317,18.371849,13.662142,19.05069,62.764126,16.178148,200.684738,20.560312,30.101484,58.400448,48.502972,54.856098,23.126324,46.680889,27.259272,51.502308,26.871471,9.877129,31.790001,37.418327,25.078417,7.325637,44.318424,47.070538,13.367798,10.055601,45.442558,27.389574,17.607368,13.787316,43.163868,26.564772,16.121922,1326.369995,12.12
"2006-09-26",26.851463,35.343399,1026.709961,434.540283,24.516243,46.371105,147.102448,48.760101,28.27951,42.280891,47.279091,32.499283,19.45709,18.295048,14.049269,19.272116,63.146824,16.376215,202.120407,20.751043,29.914671,59.369926,48.794472,55.637638,23.490873,47.820175,27.289083,52.147804,27.016727,9.790748,32.5,37.747898,25.835093,7.505512,44.453602,47.330944,13.440051,9.88596,45.782379,27.259008,17.63842,13.821826,42.987041,27.034571,16.141216,1336.349976,11.53
"2006-09-27",26.645248,35.298199,1023.775635,432.291016,24.694868,46.429108,147.381485,49.273891,28.593994,42.686478,49.230423,33.195938,18.852261,17.867155,14.351934,19.149105,62.833004,16.142139,200.158157,20.934145,29.681139,59.678028,48.433933,55.563225,23.424599,47.660522,27.169855,51.925465,27.542402,9.858232,32.330002,37.939514,25.81015,7.389464,44.631477,47.678165,13.46113,10.085612,45.888577,27.676777,17.644632,13.908081,43.393742,27.632488,16.076902,1336.589966,11.58
"2006-09-28",26.601061,35.531799,1023.003662,431.944855,24.784182,46.395966,148.253571,49.516113,28.511744,42.905888,49.384903,33.140217,18.934278,17.757444,14.619406,19.255714,62.756466,16.196154,200.486038,20.903627,28.817099,59.580357,48.832817,55.525997,23.517395,48.320858,27.348701,52.018684,27.383307,9.877129,31.84,38.177113,25.718679,7.447487,44.297077,47.236908,13.533386,10.043853,45.945202,27.454842,17.576317,13.896579,43.729717,27.572689,15.980448,1338.880005,11.72
"2006-09-29",26.645248,35.388618,1023.312561,429.695679,24.724642,46.470554,147.52977,49.251881,28.802036,43.125324,50.433754,33.516392,19.03166,17.861677,14.478631,18.845675,62.718185,15.971087,199.651459,20.865477,28.295561,59.257175,48.595024,55.392006,23.398079,47.747597,27.028267,51.595551,27.058228,9.96081,32.119999,37.801552,25.702049,7.444587,44.097866,47.207966,13.4521,9.989052,45.973518,27.350403,17.613575,13.962718,43.499836,27.436029,16.025463,1335.849976,11.98
